Year,County,NCICCode,Homicide_sum,Robbery_sum,AggAssault_sum,Burglary_sum,LTtotal_sum
2019,Butte County,Butte Co. Sheriff's Department,5,28,218,524,724
2019,Butte County,Biggs,0,0,2,3,10
2019,Butte County,Chico,0,104,353,272,1753
2019,Butte County,Gridley,0,3,11,47,136
2019,Butte County,Oroville,2,30,66,176,435
2019,Butte County,Paradise,0,1,16,83,51
2019,Butte County,Union Pacific RR - Butte,0,0,0,1,15
2019,Butte County,Northern Buttes DPR,0,0,1,2,5
2019,Butte County,CSU Chico,0,1,2,2,119
2019,Butte County,CA Highway Patrol - Butte,0,0,1,1,95
2019,Calaveras County,Calaveras Co. Sheriff's Department,1,8,98,274,380
2019,Calaveras County,Angels Camp,0,1,3,19,45
2019,Calaveras County,Union Pacific RR - Calaveras,0,0,0,0,0
2019,Calaveras County,Calaveras DPR,0,0,0,4,0
2019,Calaveras County,CA Highway Patrol - Calaveras,0,0,0,0,47
2019,Colusa County,Colusa Co. Sheriff's Department,0,4,14,53,111
2019,Colusa County,Colusa,0,1,1,28,34
2019,Colusa County,Williams,0,4,13,28,34
2019,Colusa County,Union Pacific RR - Colusa,0,0,0,0,0
2019,Colusa County,CA Highway Patrol - Colusa,0,0,6,0,3
2019,Contra Costa County,Contra Costa Co. Sheriff's Department,8,89,207,411,1053
2019,Contra Costa County,Antioch,12,238,343,511,2078
2019,Contra Costa County,Brentwood,0,67,83,142,1095
2019,Contra Costa County,Clayton,0,1,0,14,137
2019,Contra Costa County,Concord,2,234,238,434,3512
2019,Contra Costa County,El Cerrito,1,91,56,166,1054
2019,Contra Costa County,Hercules,0,15,11,31,278
2019,Contra Costa County,Pinole,0,17,40,77,726
2019,Contra Costa County,Pittsburg,7,157,241,256,983
2019,Contra Costa County,Pleasant Hill,0,41,36,112,1276
2019,Contra Costa County,Richmond,16,307,675,469,2480
2019,Contra Costa County,San Pablo,2,102,83,101,589
2019,Contra Costa County,Walnut Creek,0,40,74,307,2034
2019,Contra Costa County,Kensington,0,1,3,15,25
2019,Contra Costa County,Martinez,0,26,40,99,386
2019,Contra Costa County,Lafayette,0,3,0,42,286
2019,Contra Costa County,Moraga,0,3,19,36,79
2019,Contra Costa County,Contra Costa BART,0,34,23,2,592
2019,Contra Costa County,Contra Costa Community College,0,1,0,14,94
2019,Contra Costa County,Danville,1,7,10,36,247
2019,Contra Costa County,San Ramon,0,21,33,179,869
2019,Contra Costa County,Orinda,5,7,3,52,125
2019,Contra Costa County,Union Pacific RR - Contra Costa,0,0,0,0,2
2019,Contra Costa County,Oakley,0,17,27,74,336
2019,Contra Costa County,CA Highway Patrol - Contra Costa,0,0,0,0,40
2019,Del Norte County,Del Norte Co. Sheriff's Department,2,18,53,192,228
2019,Del Norte County,Crescent City,0,8,13,59,238
2019,Del Norte County,CA Highway Patrol - Del Norte,0,0,2,0,40
2019,El Dorado County,El Dorado Co. Sheriff's Department,3,29,94,482,1186
2019,El Dorado County,Placerville,0,6,31,67,164
2019,El Dorado County,South Lake Tahoe,2,20,79,79,335
2019,El Dorado County,Union Pacific RR - El Dorado,0,0,0,0,0
2019,El Dorado County,CA Highway Patrol - El Dorado,0,0,0,1,99
2019,Fresno County,Fresno Co. Sheriff's Department,14,102,928,1378,1304
2019,Fresno County,Clovis,0,32,157,307,1810
2019,Fresno County,Coalinga,0,4,35,38,159
2019,Fresno County,Firebaugh,0,2,7,15,51
2019,Fresno County,Fowler,1,5,21,42,43
2019,Fresno County,Fresno,35,687,1606,2321,10231
2019,Fresno County,Huron,0,10,72,13,25
2019,Fresno County,Kerman,0,4,16,58,214
2019,Fresno County,Kingsburg,0,3,13,76,107
2019,Fresno County,Mendota,1,4,74,45,50
2019,Fresno County,Orange Cove,0,2,16,12,38
2019,Fresno County,Parlier,0,9,51,24,106
2019,Fresno County,Reedley,1,12,97,69,117
2019,Fresno County,Sanger,0,15,132,59,178
2019,Fresno County,Selma,3,25,51,204,280
2019,Fresno County,State Center Community College,0,0,0,11,120
2019,Fresno County,Union Pacific RR - Fresno,0,0,0,0,3
2019,Fresno County,San Joaquin DPR,0,0,3,1,4
2019,Fresno County,Clovis Unified School,0,0,13,3,17
2019,Fresno County,CSU Fresno,0,2,6,17,129
2019,Fresno County,CA Highway Patrol - Fresno,0,0,0,0,22
2019,Fresno County,Coalinga State Hospital,0,0,199,1,10
2019,Glenn County,Glenn Co. Sheriff's Department,2,8,37,86,239
2019,Glenn County,Orland,0,8,21,23,86
2019,Glenn County,Union Pacific RR - Glenn,0,0,0,0,0
2019,Glenn County,CA Highway Patrol - Glenn,0,0,3,0,9
2019,Humboldt County,Humboldt Co. Sheriff's Department,1,59,229,398,661
2019,Humboldt County,Arcata,1,16,43,122,425
2019,Humboldt County,Eureka,3,63,100,187,977
2019,Humboldt County,Ferndale,0,0,4,2,17
2019,Humboldt County,Fortuna,0,9,17,50,231
2019,Humboldt County,Rio Dell,1,1,8,21,36
2019,Humboldt County,CSU Humboldt (Arcata),0,1,3,15,103
2019,Humboldt County,Union Pacific RR - Humboldt,0,0,0,0,0
2019,Humboldt County,Northern Coast Redwoods DPR,0,0,0,0,40
2019,Humboldt County,CA Highway Patrol - Humboldt,0,0,1,1,105
2019,Imperial County,Imperial Co. Sheriff's Department,2,7,191,178,324
2019,Imperial County,Brawley,2,8,107,95,468
2019,Imperial County,Calexico,0,21,70,244,470
2019,Imperial County,El Centro,3,41,90,228,861
2019,Imperial County,Holtville,0,2,11,13,53
2019,Imperial County,Imperial,0,1,4,10,36
2019,Imperial County,Union Pacific RR - Imperial,0,0,0,0,0
2019,Imperial County,CA Highway Patrol - Imperial,0,0,1,1,24
2019,Inyo County,Inyo Co. Sheriff's Department,1,3,47,86,105
2019,Inyo County,Bishop,0,6,19,29,150
2019,Inyo County,Union Pacific RR - Inyo,0,0,0,0,0
2019,Inyo County,CA Highway Patrol - Inyo,0,0,0,0,5
2019,Kern County,Kern Co. Sheriff's Department,29,433,2158,2756,4680
2019,Kern County,Arvin,3,16,174,115,178
2019,Kern County,Bakersfield,34,701,915,3888,9277
2019,Kern County,Delano,8,33,156,203,603
2019,Kern County,McFarland,3,9,41,52,53
2019,Kern County,Ridgecrest,3,7,101,119,243
2019,Kern County,Shafter,0,9,41,127,298
2019,Kern County,Taft,0,4,57,70,149
2019,Kern County,Tehachapi,2,7,43,70,231
2019,Kern County,California City,0,15,55,102,120
2019,Kern County,Stallion Springs,1,0,5,5,13
2019,Kern County,Bear Valley,0,0,4,6,36
2019,Kern County,Kern High School District,0,4,37,48,101
2019,Kern County,Union Pacific RR - Kern,0,0,0,19,52
2019,Kern County,CSU Bakersfield,0,0,1,14,52
2019,Kern County,CA Highway Patrol - Kern,1,0,2,1,40
2019,Kings County,Kings Co. Sheriff's Department,2,19,85,114,297
2019,Kings County,Corcoran,1,12,97,65,157
2019,Kings County,Hanford,0,40,199,131,900
2019,Kings County,Lemoore,1,14,94,71,264
2019,Kings County,Union Pacific RR - Kings,0,0,0,1,0
2019,Kings County,Porterville Developmental Center,0,0,60,2,2
2019,Kings County,Avenal,0,3,59,26,28
2019,Kings County,CA Highway Patrol - Kings,0,0,0,0,14
2019,Lake County,Lake Co. Sheriff's Department,3,19,150,204,225
2019,Lake County,Lakeport,0,7,24,29,110
2019,Lake County,Clearlake,1,36,63,146,210
2019,Lake County,CA Highway Patrol - Lake,1,0,0,0,38
2019,Lassen County,Lassen Co. Sheriff's Department,0,0,70,100,65
2019,Lassen County,Susanville,0,10,179,45,157
2019,Lassen County,Union Pacific RR - Lassen,0,0,0,0,1
2019,Lassen County,CA Highway Patrol - Lassen,0,0,0,0,9
2019,Los Angeles County,Los Angeles Co. Sheriff's Department,68,1443,3753,2798,8595
2019,Los Angeles County,Alhambra,2,89,59,259,1303
2019,Los Angeles County,Arcadia,1,35,38,301,973
2019,Los Angeles County,Artesia,1,28,41,90,161
2019,Los Angeles County,Avalon,0,0,8,7,28
2019,Los Angeles County,Azusa,5,46,76,174,646
2019,Los Angeles County,Baldwin Park,1,50,113,196,606
2019,Los Angeles County,Bell,0,37,120,127,224
2019,Los Angeles County,Bellflower,1,107,190,326,860
2019,Los Angeles County,Bell Gardens,0,69,74,78,334
2019,Los Angeles County,El Camino College,0,2,1,2,57
2019,Los Angeles County,La Habra Heights,0,1,3,29,45
2019,Los Angeles County,Union Pacific RR - Los Angeles,0,0,1,1462,471
2019,Los Angeles County,Metropolitan Trans. Authority (MTA),0,0,6,0,20
2019,Los Angeles County,Pasadena Community College,0,0,0,4,64
2019,Los Angeles County,Westlake Village,0,6,2,44,140
2019,Los Angeles County,Beverly Hills,1,52,44,257,1197
2019,Los Angeles County,Bradbury,0,1,0,2,6
2019,Los Angeles County,Burbank,1,54,123,299,2107
2019,Los Angeles County,Claremont,0,23,22,191,552
2019,Los Angeles County,Commerce,1,49,83,128,624
2019,Los Angeles County,Compton,18,427,619,334,1285
2019,Los Angeles County,Covina,2,43,101,239,779
2019,Los Angeles County,Cudahy,2,29,56,39,111
2019,Los Angeles County,Culver City,0,102,78,172,1380
2019,Los Angeles County,Cerritos,1,65,51,314,1198
2019,Los Angeles County,Agoura Hills,0,4,11,66,223
2019,Los Angeles County,West Hollywood,0,139,131,215,1566
2019,Los Angeles County,Baldwin Park School,0,0,12,5,9
2019,Los Angeles County,Santa Clarita,2,89,137,392,1448
